new entry "KHB_Interrupt_BleedingEdge"
type "InterruptData"
data "DisplayName" "KHB_BleedingEdge_DisplayName;1"
data "Description" "KHB_BleedingEdge_Description;1"
data "Icon" "Action_Barbarian_RecklessAttack"
data "InterruptContext" "OnPostRoll"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "not Dead(context.Observer) and HasInterruptedAttack() and Self(context.Observer,context.Source) and IsMeleeWeaponAttack() and not HasStatus('KHB_BLEEDINGEDGE',context.Observer) and not AnyEntityIsItem() and IsRerollInterruptInteresting(context.Source) and not InterruptHasAdvantage()"
data "Properties" "SetAdvantage();ApplyStatus(OBSERVER_OBSERVER,KHB_BLEEDINGEDGE,100,1)"
data "Cooldown" "OncePerTurn"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "not HasStatus('SG_Polymorph') or Tagged('MINDFLAYER') or HasStatus('SG_Disguise')"
data "EnableContext" "OnStatusApplied;OnStatusRemoved"
